,area,bathroom,bedroom,business,condominium,garage,neighborhood,price,property,suite
0,1.0,3,4,venda,não informado,3,Ponta Negra,800000.0,casa,1
0,180.0,4,3,venda,0,4,PARNAMIRIM,500000.0,casa,3
0,250.0,2,3,venda,não informado,2,Neópolis,300000.0,casa,1
0,250.0,3,3,venda,não informado,4,Lagoa Nova,665000.0,casa,2
0,278.0,1,4,venda,0,5,Candelária,700000.0,casa,3
0,225.0,1,2,venda,0,1,Planalto,130000.0,casa,0
0,192.0,3,3,venda,não informado,2,Candelária,393000.0,casa,2
0,90.0,1,2,venda,0,5,Nossa Senhora da Apresentação,90000.0,casa,0
0,200.0,3,3,venda,0,2,Monte Belo,400000.0,casa,2
0,170.0,2,3,venda,0,3,Pitimbu,410000.0,casa,1
0,219.0,3,3,venda,não informado,2,Lagoa Nova,680000.0,casa,2
0,99.0,2,3,venda,não informado,1,Lagoa Nova,250000.0,casa,1
0,500.0,7,5,venda,0,4,Capim Macio,860000.0,casa,3
0,300.0,3,3,venda,não informado,6,Capim Macio,1200000.0,casa,2
0,193.0,0,2,venda,0,2,Tirol,500000.0,casa,1
0,340.0,4,4,venda,não informado,3,Pitimbu,430000.0,casa,4
0,152.0,1,3,venda,0,1,Alecrim,350000.0,casa,0
0,208.0,3,4,venda,não informado,3,Pitimbu,278900.0,casa,1
0,202.0,1,3,venda,não informado,2,Lagoa Nova,420000.0,casa,2
0,600.0,5,5,venda,não informado,4,Capim Macio,1300000.0,casa,4
0,257.0,5,3,venda,não informado,3,Capim Macio,495000.0,casa,3
0,150.0,3,3,venda,não informado,3,Ponta Negra,25500.0,casa,2
0,250.0,5,4,venda,não informado,3,Candelária,490000.0,casa,4
0,250.0,3,4,venda,não informado,3,Lagoa Nova,1100000.0,casa,2
0,540.0,5,4,venda,não informado,4,Lagoa Nova,2000000.0,casa,4
0,340.0,4,4,venda,1.0,6,Lagoa Nova,790000.0,casa,3
0,107.0,2,3,venda,0,2,Lagoa Nova,350000.0,casa,0
0,265.0,4,5,venda,não informado,3,Lagoa Nova,430000.0,casa,2
0,450.0,6,4,venda,0,4,Ponta Negra,1500000.0,casa,4
0,233.0,2,5,venda,0,1,Lagoa Nova,450000.0,casa,3
0,254.0,4,3,venda,não informado,2,Pitimbu,320000.0,casa,3
0,300.0,5,6,venda,0,3,Ponta Negra,550000.0,casa,4
0,150.0,4,4,venda,não informado,3,Nova Descoberta,450000.0,casa,2
